"t","SystemCodeNumber","occ_max","occ_min","avg_occ","cap","QueL","Traffic","IsSpecialDay","VehiWeight","Demand","NormalizedDemand","Price","time","diff"
"2016-10-05T00:00:00.000000000","Others-CCCPS8","836","445","703.6666666666666","1322","4.277777777777778","0.8333333333333334","0","1.9444444444444444","6.656875105059673","0.413671532731636","12.06835766365818","1752004803868","1"
"2016-10-05T00:00:00.000000000","BHMBCCMKT01","269","61","182.05555555555554","577","3.611111111111111","0.8333333333333334","0","1.7777777777777777","5.8049297130752935","0.0","10.0","1752004803868","1"
"2016-10-05T00:00:00.000000000","Others-CCCPS135a","3251","1081","2740.1111111111113","3883","5.222222222222222","0.6666666666666666","0","1.8333333333333333","7.8644018084528","0.9999995144389104","14.999997572194552","1752004803868","1"
"2016-10-05T00:00:00.000000000","BHMNCPNST01","381","249","338.55555555555554","485","4.222222222222222","0.8333333333333334","0","2.0","6.661053837342497","0.41570056253163795","12.07850281265819","1752004803868","1"
"2016-10-05T00:00:00.000000000","Broad Street","683","178","560.8888888888889","690","4.333333333333333","0.8333333333333334","0","1.6111111111111112","6.648550724637682","0.40962953750447045","12.048147687522352","1752004803868","1"
"2016-10-05T00:00:00.000000000","BHMBCCTHL01","334","120","268.8888888888889","387","3.611111111111111","0.7222222222222222","0","1.8888888888888888","6.275193798449612","0.22834194164994323","11.141709708249717","1752004803868","1"
"2016-10-05T00:00:00.000000000","BHMEURBRD01","464","117","383.8333333333333","470","4.055555555555555","0.7222222222222222","0","1.5555555555555556","6.404964539007093","0.29135356382104693","11.456767819105234","1752004803868","1"
"2016-10-05T00:00:00.000000000","Others-CCCPS105a","1484","709","1232.0","2009","4.666666666666667","0.7777777777777778","0","1.6111111111111112","6.691319617277806","0.43039644761177853","12.151982238058894","1752004803868","1"
"2016-10-05T00:00:00.000000000","Shopping","1460","614","1248.1666666666667","1920","4.611111111111111","0.6666666666666666","0","1.7222222222222223","6.9684027777777775","0.5649372489079381","12.824686244539691","1752004803868","1"
"2016-10-05T00:00:00.000000000","Others-CCCPS119a","605","195","487.1111111111111","2803","3.9444444444444446","0.7777777777777778","0","1.9444444444444444","6.229605184920919","0.20620588479587848","11.031029423979392","1752004803868","1"
